,Microsoft Windows,macOS,Linux,BSD,Unix,OpenVMS
Acme,Partial[c],,,,,
AkelPad,,,,,,
Alphatk,,,,,,
Aquamacs,,,,,,
Atom,,,,,,
Arachnophilia,,,,,,
BBEdit,,,,,,
Bluefish,,,,,,
Brackets,,,,,,
Coda,,,,,,
ConTEXT,,,,,,
Crimson Editor,,,,,,
CudaText,,,,,,
ed,Partial[d],,,,,
Editra,,,,?,?,?
EmEditor,,,,,,
epsilon,,[50],,,,
Geany,,,,,,
gedit,,[e],,,,
GNU Emacs,,,,,,
JED,,,,,,
jEdit,,,,,,
JOE,[dubious  â€“ discuss],,,,,
JOVE,,,,,,
Kate,,,,,,
KEDIT,,,,,,
Komodo Edit,,,,,?,?
Komodo IDE,,,,,?,?
KWrite,,,,,,
LE,Partial[d],,,,,
Light Table,,,,,,
Metapad,,,,,,
mg,,,,,,?
MinEd,,,,,,
GNU nano,,,,,,
ne,Partial[d],,,,,
NEdit,Partial[d],[f],,,,
Notepad,,,,,,
Notepad++,,,,,,
nvi,,,,,,
Pico,,,,,,
PSPad,,,,,,
RJ TextEd,,,,,,
Sam,Partial[c],,,,,
SciTE,,[f],,,,
SlickEdit,,,,,,
Smultron,,,,,,
Source Insight,,,,,,
SubEthaEdit,,,,,,
Sublime Text,,,,,,
TED Notepad,,,,,,
Textadept,,,,,,
TextEdit,,,,,,
TextMate,,,,,,
TextPad,,,,,,
TextWrangler,,,,,,
The SemWare Editor,,,,,,
UltraEdit,,,,,,
Ulysses (text editor),,,,,,
vi,,,,,,
Vim,,,,,,
Visual Studio Code,,,,,,
XEmacs,,,,,,
XNEdit,Partial[d][g],[f],,,,
,Microsoft Windows,macOS,Linux,BSD,Unix,OpenVMS
